stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2334930,272,,Burns Rd & Walking Ln (past),,33.911101,-84.126161,,,0,,America/New_York,,,0
2334931,123,,Button Gwinnett Dr & Mimms Rd Ib,,33.917396509051,-84.240212787014,,,0,,America/New_York,,,0
2334932,278,,Button Gwinnett Dr & Rush Truck Ctr,,33.919495,-84.241523,,,0,,America/New_York,,,0
2334933,279,,Button Gwinnett Dr & Rush Ent (across),,33.919594,-84.241756,,,0,,America/New_York,,,0
2334934,280,,Button Gwinnett Rd & Ryder,,33.924089,-84.244794,,,0,,America/New_York,,,0
2334935,281,,Center Way Quicktrip,,33.919008,-84.197998,,,0,,America/New_York,,,0
2334936,282,,Center Way & Oakbrook Summit Entrance,,33.917008,-84.19651,,,0,,America/New_York,,,0
2334937,283,,Center Way & Reece  Supply Ob,,33.916972,-84.196229,,,0,,America/New_York,,,0
2334938,285,,Central Ave & Wall St,,33.752343,-84.388447,,,0,,America/New_York,,,0
2334939,288,,Grayson Hwy & Associated Credit Union,,33.941891,-83.98321,,,0,,America/New_York,,,0
2334940,291,,Club Dr & Carrington Ct Apts (court Dr),,33.942136,-84.131656,,,0,,America/New_York,,,0
2334941,292,,Club Dr & Crestwood Pkwy Ob,,33.942428455937,-84.131468394815,,,0,,America/New_York,,,0
2334942,293,,Club Dr & Shackleford Rd,,33.94266,-84.140351,,,0,,America/New_York,,,0
2334943,294,,Club Dr & Shackleford Rd,,33.942784,-84.140384,,,0,,America/New_York,,,0
2334944,295,,Club Dr & Steve Reynolds Blvd,,33.942111,-84.135106,,,0,,America/New_York,,,0
2334945,296,,Club Dr & Steve Reynolds Blvd OB,,33.942331,-84.135434,,,0,,America/New_York,,,0
2334946,300,,Courtland St & Auburn Ave (100/103a),,33.755925,-84.384348,,,0,,America/New_York,,,0
2334947,301,,Courtland St & Ellis St (100/103a),,33.75849,-84.38431,,,0,,America/New_York,,,0
2334948,302,,Courtland St & Glimer St (100/103a),,33.75363,-84.385283,,,0,,America/New_York,,,0
2334949,304,,W. Pike St & Cvs Pharmacy,,33.964751,-84.008297,,,0,,America/New_York,,,0
2334950,305,,Dawson Blvd & Gateway Business Park,,33.908049,-84.208551,,,0,,America/New_York,,,0
2334951,308,,Dawson Blvd & Varsity Entrance 2,,33.908171,-84.208424,,,0,,America/New_York,,,0
2334952,309,,Dawson Blvd & Varsity Entrane 1,,33.907538,-84.20756,,,0,,America/New_York,,,0
2334953,310,,Koger Blvd & Devry University Ob,,33.948981,-84.123026,,,0,,America/New_York,,,0
2334954,313,,Duluth Hwy & Meadow Brook Pkwy Ib,,33.977836,-84.09691,,,0,,America/New_York,,,0
2334955,314,,Duluth Hwy  & Primerica Pkwy Ob,,33.978014,-84.095797,,,0,,America/New_York,,,0
2334956,316,,Ferguson Elementary Ob,,33.95077,-84.123157,,,0,,America/New_York,,,0
2334957,318,,Best Friend Rd & Button Gwinnett Dr,,33.913848,-84.236614,,,0,,America/New_York,,,0
2334958,323,,Graves Rd & Mcdonough Dr Ob,,33.90262,-84.222407,,,0,,America/New_York,,,0
2334959,324,,Graves Rd & Mcdonough Dr,,33.902556,-84.22256,,,0,,America/New_York,,,0
2334960,326,,Graves Rd & Osborne Dr,,33.899823,-84.220848,,,0,,America/New_York,,,0
2334961,327,,Graves Rd & Sienna Heights Apts OB,,33.895261,-84.212562,,,0,,America/New_York,,,0
2334962,328,,Graves Rd & Champoins Park Apts Ob,,33.901694,-84.221328,,,0,,America/New_York,,,0
2334963,329,,Graves Rd & Champions Park Apts Ib,,33.901706,-84.221593,,,0,,America/New_York,,,0
2334964,330,,Graves Rd & Downing Ln Ob,,33.895574,-84.21829,,,0,,America/New_York,,,0
2334965,333,,Graves & Marquis Estates Apts Ob,,33.895201,-84.216259,,,0,,America/New_York,,,0
2334966,334,,Graves Rd & E National Cir,,33.895072,-84.211406,,,0,,America/New_York,,,0
2334967,336,,Grayson Hwy & Big Lots,,33.945033,-83.984695,,,0,,America/New_York,,,0
2334968,337,,Grayson Hwy & Lawrenceville Square Plaza,,33.948587,-83.986771,,,0,,America/New_York,,,0
2334969,338,,Grayson Hwy & Metro Matress,,33.946053,-83.985288,,,0,,America/New_York,,,0
2334970,349,,Prof Dr At The Gwinnett Prof Center,,33.964379,-84.011488,,,0,,America/New_York,,,0
2334971,350,,Gwinnett Dr & Bridgestone Tire,,33.943243,-83.992318,,,0,,America/New_York,,,0
2334972,351,,Gwinnett Dr & Town Center Cinemas Ob,,33.940332,-83.984885,,,0,,America/New_York,,,0
2334973,352,,Gwinnett Dr & Green Tomato Ob,,33.943179,-83.991868,,,0,,America/New_York,,,0
2334974,353,,Gwinnett Dr & Kroger Shopping Ib,,33.940172,-83.984931,,,0,,America/New_York,,,0
2334975,354,,Gwinnett Dr & Police Security Bldg,,33.946601,-83.997147,,,0,,America/New_York,,,0
2334976,355,,Gwinnett Dr & Hs Football Field,,33.948037,-83.99822,,,0,,America/New_York,,,0
2334977,356,,Gwinnett Dr & Pnc Bank,,33.941479,-83.990338,,,0,,America/New_York,,,0
2334978,357,,Gwinnett Dr & Scenic Hwy Ob,,33.942449,-83.990716,,,0,,America/New_York,,,0
2334979,358,,Gwinnett Dr & Stone Mountain St,,33.943999,-83.993521,,,0,,America/New_York,,,0
2334980,360,,Gwinnett Central High School Ib,,33.949949,-84.000314,,,0,,America/New_York,,,0
2334981,361,,Gwinnett Technical College,,33.962491,-84.062032,,,0,,America/New_York,,,0
2334982,363,,Old Norcross Rd & Hillandale Rd,,33.953877,-84.031564,,,0,,America/New_York,,,0
